"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"F2r",4.05854075293297e-06,-1.58189722249582,0.364,0.948,0.0661420386505486
"Dnah5",4.07247628895877e-06,1.23194819922197,0.636,0.165,0.0663691460811611
"Cfap126",4.15245871028733e-06,1.16354928523767,0.636,0.185,0.0676726196015526
"Aldh3b1",4.18481098518891e-06,1.49694530740187,1,0.837,0.0681998646256237
"Nek2",4.21969712416848e-06,0.819406020565026,0.636,0.166,0.0687684040325737
"Gstp2",4.32940037579227e-06,0.470287090408199,0.545,0.107,0.0705562379242867
"1700094D03Rik",4.4865388994983e-06,1.38261391090628,0.727,0.273,0.0731171244451239
"Gramd1c",4.54250482741737e-06,0.371694509777617,0.364,0.052,0.0740292011724209
"Pigw",4.54475571924698e-06,0.304777678807673,0.273,0.03,0.0740658839565681
"Gp2",4.59728877599477e-06,1.05770831446155,0.545,0.12,0.0749220151823868
"Spag5",4.70196002129982e-06,0.302875641563298,0.273,0.03,0.0766278424671231
"Id3",4.72918612933331e-06,-1.42402831259954,0.364,0.912,0.077071546349745
"Spock2",4.74539311229499e-06,-1.7997802770118,0.364,0.934,0.0773356715510714
"Rabl2",4.7899426247381e-06,0.765796246280475,0.636,0.153,0.0780616949553568
"Olfml2a",5.05117374622006e-06,0.423834614103818,0.455,0.078,0.0823189785421483
"Klhdc7a",5.20627608827413e-06,0.750161830338506,0.545,0.12,0.0848466814106035
"Pak6",5.35903954588368e-06,0.460468703658118,0.364,0.053,0.0873362674792663
"Ttc21a",5.53200704327269e-06,1.06401361168675,0.636,0.177,0.0901551187842151
"2410004P03Rik",5.69581080227592e-06,1.13431703547161,0.636,0.194,0.0928246286446907
"Vnn3",5.74661396483305e-06,0.301609008434624,0.273,0.031,0.0936525677848841
"Slc12a2",6.56581581940773e-06,0.425040880930689,0.455,0.08,0.107003100408888
"Cbr2",6.56845829846776e-06,1.78515017675703,0.909,0.83,0.107046164890129
"Plet1",6.58522992477836e-06,1.24354819173279,0.727,0.248,0.107319492084113
"Has3",6.61102897615359e-06,0.303509375393339,0.273,0.031,0.107739939224375
"Tns1",6.61924671418391e-06,-1.37244807083151,1,0.995,0.107873863701055
"Hat1",6.68427426962385e-06,0.302875641563298,0.273,0.031,0.10893361777206
"Wscd2",6.68427426962385e-06,0.302875641563298,0.273,0.031,0.10893361777206
"Smim31",6.68427426962385e-06,0.302875641563298,0.273,0.031,0.10893361777206
"Gm37240",6.75349856252884e-06,0.367359299266636,0.364,0.053,0.110061766073532
"Wdr60",6.97465672438701e-06,0.421425101993184,0.455,0.08,0.113665980637335
"Iqcg",7.14501320158425e-06,0.6627471323262,0.455,0.085,0.116442280146219
"Igfbp7",7.50434376168905e-06,-0.851626239427528,1,1,0.122298290284246
"Galnt12",7.57419060873597e-06,0.507083446396775,0.455,0.083,0.12343658435057
"Inmt",7.79546970843878e-06,-1.9431680478378,0.818,0.966,0.127042769838427
"Tmcc2",7.8743885380888e-06,-1.62768510963192,0.364,0.891,0.128328910005233
"Cyp2f2",8.20238097620614e-06,2.33972551865826,1,0.983,0.133674202769232
"Gjb3",8.26420418192733e-06,0.300343486387783,0.273,0.032,0.13468173555287
"Acer2",8.55104006725198e-06,-1.53933937061279,0.818,0.969,0.139356299976006
"Dnaaf1",8.89376579425735e-06,0.866509459588645,0.545,0.13,0.144941701149012
