"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ndnf",0.00446214255315802,-0.253443004839326,0.397,0.526,1
"Myh11",0.00849634620445882,0.432535770496997,0.305,0.231,1
"Ripor1",0.0105861014227013,0.26210558352579,0.58,0.52,1
"Fscn1",0.0110063586384047,-0.258687035437021,0.42,0.555,1
"Dpt",0.0128238209779727,0.276903485922592,0.542,0.542,1
"Tmem204",0.0139051440022343,0.264173370952859,0.565,0.493,1
"Fabp4",0.0238385315760352,0.344713500903778,0.275,0.203,1
"Rtl8b",0.0388613760703898,0.261664180843514,0.527,0.507,1
"Cd79b",0.0503351407310883,-0.323792266025686,0.389,0.488,1
"Cd79a",0.0858703122027066,-0.412967062025265,0.634,0.692,1
"Cyp2s1",0.155374284220674,0.314795833523536,0.328,0.289,1
"Mfge8",0.165589703551479,-0.302598043756563,0.893,0.892,1
"Slc16a11",0.207699336505807,0.252503940016541,0.282,0.252,1
"Igha",0.271563024044047,0.310596018543969,1,1,1
"Ighg3",0.629358545282372,0.819864543254107,0.42,0.469,1
"Ighm",0.921190537252533,-0.30128538461805,1,0.962,1
